question,answer,category
What is VayuAkra?,VayuAkra (Sanskrit for Wind Energy) is an AI-driven dashboard that identifies which fossil-fuel power plants in India should be replaced with solar wind or hybrid renewable systems. It scores every fossil plant from 0-100 based on age renewable potential and grid dependency.,general
What does VayuAkra mean?,VayuAkra comes from Sanskrit — Vayu means Wind and Akra means Energy. It represents India's journey toward clean wind and solar power.,general
What is the purpose of this dashboard?,VayuAkra helps policymakers and energy planners decide which coal gas and oil plants to retire first and whether to replace them with solar wind or hybrid renewable systems.,general
How many plants are analysed?,VayuAkra analyses 1589 power plants across India of which 338 are fossil-fuel plants including coal gas and oil facilities.,general
What datasets does VayuAkra use?,VayuAkra uses two datasets — the WRI Global Power Plant Database enriched with NASA POWER solar irradiance and ERA5 wind speed data plus the IEA Ember India Monthly Electricity Release for state-level grid composition.,general
Who built VayuAkra?,VayuAkra was built as an energy systems engineering project combining data science geospatial analysis and full-stack development using Python and Streamlit.,general
What fuels are considered fossil fuels?,Coal Gas and Oil are the three fossil fuel types analysed and scored in VayuAkra. All other plants including Solar Wind Hydro Nuclear and Biomass are marked as Already Clean.,general
What is a Transition Score?,The Transition Score is a number from 0 to 100 assigned to every fossil plant. Higher scores mean the plant is more urgent to replace. It combines plant age renewable resource abundance and regional grid dependency.,scoring
How is the Transition Score calculated?,The Transition Score = Age Score × 40% + Renewable Resource Score × 40% + Regional Grid Priority × 20%. All three components are normalised to 0-100 before weighting.,scoring
What does the Age component measure?,The Age component measures how old the plant is. Older plants score higher because they are closer to end-of-life and less economically defensible. A 60-year-old plant scores 100 on this component.,scoring
How is plant age calculated?,Age = 2024 minus commissioning year. If the commissioning year is missing VayuAkra assumes 30 years for Coal plants and 20 years for Gas plants as conservative defaults.,scoring
What does the Renewable Resource component measure?,The Renewable Resource component measures how much solar and wind energy is available at the plant's location. It combines normalised solar irradiance mean and wind speed at 100m equally.,scoring
What is the weight of age in the Transition Score?,Age contributes 40% of the total Transition Score — the single largest component because plant retirement decisions are primarily driven by asset age and capital depreciation.,scoring
What is the weight of renewable resources in scoring?,Renewable resource abundance contributes 40% of the Transition Score combining solar irradiance and wind speed at the plant's location.,scoring
What is the Regional Grid Priority component?,Regional Grid Priority contributes 20% of the score. A state with high fossil dependency gets elevated priority so plants in coal-locked states score higher than equally aged plants in diversified grids.,scoring
What is an Urgent Replacement plant?,A plant scoring 70 or above is classified as Urgent Replacement — it combines old age high renewable potential and sits in a fossil-heavy grid making it a top priority for retirement.,classification
What is Moderate Priority?,Plants scoring between 40 and 69 are Moderate Priority — they have significant retirement reasons but are not as immediately critical as Urgent Replacement candidates.,classification
What is Low Priority?,Plants scoring below 40 are Low Priority — they may be newer or located in areas with lower renewable potential or already-diversified grids.,classification
What does Already Clean mean?,Already Clean plants are non-fossil facilities — Solar Wind Hydro Nuclear Biomass etc. They receive no Transition Score as they are already part of the clean energy solution.,classification
What is a Hybrid Candidate?,A Hybrid Candidate is a fossil plant whose location exceeds the 75th percentile nationally for BOTH solar irradiance AND wind speed. These sites are ideal for co-located solar-wind hybrid systems that maximise capacity factor.,classification
What does Solar recommendation mean?,A Solar recommendation means the plant's location has high solar irradiance above the 75th percentile but lower wind speed. Utility-scale solar PV ideally paired with battery storage is the best replacement.,classification
What does Wind recommendation mean?,A Wind recommendation means the plant's location has strong wind speed above the 75th percentile at 100m hub height but lower solar potential. A wind farm would effectively replace the plant's capacity.,classification
How does the map work?,The Geospatial Intelligence Map plots all plants as circles. Circle size is proportional to capacity in MW. Colour runs from green for low scores to red for urgent replacement. Hover over any plant to see its details.,features
What do the map colours mean?,Red plants have high Transition Scores and are urgent replacements. Yellow-orange plants are moderate priority. Green plants are low priority or already clean. The colour scale runs from 0 green to 100 red.,features
What is the State Leaderboard?,The State Leaderboard ranks Indian states by their total retirable coal capacity in MW. It also shows the fossil-to-clean grid composition for each state helping identify where intervention is most needed.,features
What is the Surya-Vayu Analysis?,Surya-Vayu Analysis is a per-plant deep dive. Select any fossil plant in the sidebar and see its 12-month solar irradiance curve wind speed gauge score breakdown and recommended renewable replacement mix.,features
What is the 12-month solar curve?,The 12-month solar curve shows monthly average solar irradiance in kWh per square metre per day across January to December. It reveals seasonal patterns — peaks in summer months and dips during monsoon season.,features
How do I use the sidebar?,Use the sidebar to filter plants by minimum Transition Score fuel type and classification. Also use it to select a specific plant for the Surya-Vayu deep dive analysis.,features
What is the Transition Score slider?,The Transition Score slider in the sidebar hides all fossil plants below the chosen feasibility score. Slide it up to focus only on the most urgent replacement candidates.,features
What is solar irradiance?,Solar irradiance measures the power of sunlight hitting a surface — in VayuAkra it is expressed as kWh per square metre per day averaged monthly from NASA POWER satellite data.,renewable
What is wind speed at 100m?,Wind speed at 100m refers to the average wind speed at 100 metres above ground — the typical hub height of modern utility-scale wind turbines. Higher values indicate stronger wind energy potential.,renewable
What is a good solar irradiance value?,In the Indian context solar irradiance values above 5.5 kWh per square metre per day are considered excellent for utility solar. Rajasthan Gujarat and parts of the Deccan Plateau have the highest values.,renewable
What is a good wind speed for a wind farm?,Wind speeds above 6-7 metres per second at 100m are generally considered economically viable for utility-scale wind farms. Tamil Nadu and Rajasthan coastal areas have India's best wind resources.,renewable
What is BESS?,BESS stands for Battery Energy Storage System. It stores excess solar or wind energy for use when generation is low — such as nights for solar or calm days for wind — enabling 24-hour clean power supply.,renewable
What is capacity factor?,Capacity factor is the ratio of actual energy produced to the maximum possible if the plant ran at full capacity 24/7. Solar typically achieves 18-25% in India while coal plants run at 50-70% capacity factor.,renewable
What is co-located hybrid generation?,Co-located hybrid generation means placing both solar panels and wind turbines at the same site. This smooths out generation — wind often peaks at night or in monsoon when solar is weak — improving overall capacity factor.,renewable
Which state has the worst fossil dependency?,Chhattisgarh Jharkhand and Bihar top the fossil dependency list with near 100% fossil grid composition. These states have almost no clean energy capacity making them the highest priority for transition investment.,states
Why is Chhattisgarh ranked first?,Chhattisgarh has over 24000 MW of coal capacity representing nearly 100% of its grid — one of the highest fossil ratios of any Indian state. It also has multiple ageing plants with high Transition Scores.,states
What is the fossil ratio?,The fossil ratio is the percentage of a state's total installed capacity that comes from fossil fuels. A ratio of 1.0 means 100% fossil. It is calculated from the latest IEA Ember India Monthly Electricity Release data.,states
